"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2023","13,181.35","12,969.53","13,187.74","12,969.53","317.30M","1.68%"
"03/30/2023","12,963.14","12,937.17","12,986.51","12,894.17","222.52M","0.91%"
"03/29/2023","12,846.03","12,768.14","12,867.32","12,735.07","269.29M","1.87%"
"03/28/2023","12,610.57","12,654.56","12,654.56","12,517.87","202.21M","-0.49%"
"03/27/2023","12,673.07","12,800.53","12,838.71","12,648.14","224.72M","-0.74%"
"03/24/2023","12,767.05","12,701.86","12,768.57","12,608.15","260.23M","0.30%"
"03/23/2023","12,729.23","12,735.60","12,900.08","12,611.84","296.74M","1.29%"
"03/22/2023","12,567.15","12,742.05","12,943.16","12,565.96","278.37M","-1.37%"
"03/21/2023","12,741.44","12,643.92","12,761.43","12,582.76","302.19M","1.42%"
"03/20/2023","12,562.61","12,490.10","12,577.35","12,414.86","291.01M","0.34%"
"03/17/2023","12,519.88","12,570.91","12,672.95","12,444.08","715.08M","-0.49%"
"03/16/2023","12,581.39","12,216.08","12,594.72","12,191.90","343.74M","2.69%"
"03/15/2023","12,251.32","12,083.20","12,269.18","12,026.54","342.85M","0.42%"
"03/14/2023","12,199.79","12,080.18","12,217.71","12,035.61","323.55M","2.32%"
"03/13/2023","11,923.17","11,752.10","12,072.63","11,695.41","350.80M","0.79%"
"03/10/2023","11,830.28","12,001.74","12,069.43","11,790.51","308.28M","-1.38%"
"03/09/2023","11,995.88","12,230.84","12,340.19","11,970.85","275.43M","-1.80%"
"03/08/2023","12,215.33","12,181.06","12,236.90","12,103.04","233.92M","0.52%"
"03/07/2023","12,152.17","12,303.61","12,343.43","12,130.07","258.35M","-1.22%"
"03/06/2023","12,302.48","12,344.65","12,466.66","12,298.50","239.30M","0.10%"
"03/03/2023","12,290.81","12,108.83","12,300.23","12,095.56","278.56M","2.04%"
"03/02/2023","12,044.87","11,831.17","12,074.58","11,831.17","244.25M","0.89%"
"03/01/2023","11,938.57","12,026.72","12,053.91","11,906.61","247.14M","-0.86%"
"02/28/2023","12,042.12","12,040.32","12,146.44","12,022.23","315.36M","-0.13%"
"02/27/2023","12,057.79","12,106.79","12,158.29","12,035.09","224.90M","0.74%"
"02/24/2023","11,969.65","11,980.79","12,018.32","11,901.03","263.14M","-1.73%"
"02/23/2023","12,180.14","12,224.44","12,227.40","12,003.72","284.13M","0.94%"
"02/22/2023","12,066.27","12,085.67","12,155.28","12,006.10","261.27M","0.05%"
"02/21/2023","12,060.30","12,206.61","12,256.16","12,058.40","290.93M","-2.41%"
"02/17/2023","12,358.18","12,352.30","12,384.89","12,233.79","265.09M","-0.68%"
"02/16/2023","12,442.48","12,498.73","12,653.08","12,440.00","293.43M","-1.93%"
"02/15/2023","12,687.89","12,529.97","12,688.17","12,487.15","246.86M","0.77%"
"02/14/2023","12,590.89","12,410.01","12,627.40","12,358.59","272.42M","0.71%"
"02/13/2023","12,502.31","12,357.54","12,522.63","12,313.83","255.75M","1.60%"
"02/10/2023","12,304.92","12,309.51","12,372.89","12,204.28","266.69M","-0.62%"
"02/09/2023","12,381.17","12,676.53","12,679.32","12,328.25","308.10M","-0.91%"
"02/08/2023","12,495.38","12,680.03","12,709.45","12,471.19","306.44M","-1.83%"
"02/07/2023","12,728.27","12,474.25","12,771.57","12,421.54","318.36M","2.12%"
"02/06/2023","12,464.51","12,468.80","12,558.66","12,412.76","251.98M","-0.87%"
"02/03/2023","12,573.36","12,522.69","12,828.15","12,522.69","343.27M","-1.79%"
"02/02/2023","12,803.14","12,655.46","12,880.43","12,604.74","395.33M","3.56%"
"02/01/2023","12,363.10","12,084.52","12,456.80","12,010.74","342.54M","2.16%"
"01/31/2023","12,101.93","11,915.97","12,103.30","11,915.97","314.29M","1.59%"
"01/30/2023","11,912.39","12,047.05","12,086.56","11,906.69","277.93M","-2.09%"
"01/27/2023","12,166.60","12,001.32","12,248.15","12,001.32","343.86M","0.96%"
"01/26/2023","12,051.48","11,974.97","12,053.74","11,854.04","266.40M","2.00%"
"01/25/2023","11,814.69","11,636.01","11,841.81","11,550.46","254.58M","-0.27%"
"01/24/2023","11,846.64","11,804.13","11,889.37","11,780.25","213.95M","-0.22%"
"01/23/2023","11,872.54","11,653.69","11,918.84","11,619.14","289.33M","2.18%"
"01/20/2023","11,619.03","11,364.72","11,621.78","11,332.26","343.34M","2.86%"
"01/19/2023","11,295.67","11,345.53","11,387.61","11,251.94","258.59M","-1.00%"
"01/18/2023","11,410.29","11,634.80","11,690.02","11,403.49","270.21M","-1.27%"
"01/17/2023","11,557.19","11,531.29","11,614.03","11,484.02","261.63M","0.14%"
"01/13/2023","11,541.48","11,363.52","11,547.67","11,350.84","229.09M","0.71%"
"01/12/2023","11,459.61","11,442.89","11,499.69","11,246.02","264.80M","0.50%"
"01/11/2023","11,402.53","11,256.86","11,402.92","11,220.75","278.73M","1.76%"
"01/10/2023","11,205.78","11,069.05","11,206.52","11,051.70","231.44M","0.88%"
"01/09/2023","11,108.45","11,132.33","11,304.84","11,085.38","273.87M","0.62%"
"01/06/2023","11,040.35","10,807.93","11,082.59","10,696.92","315.22M","2.78%"
"01/05/2023","10,741.22","10,838.74","10,838.74","10,729.73","279.74M","-1.59%"
"01/04/2023","10,914.80","10,948.32","10,980.52","10,790.55","291.71M","0.48%"
"01/03/2023","10,862.64","11,039.69","11,091.70","10,771.59","293.99M","-0.70%"
"12/30/2022","10,939.76","10,835.59","10,942.01","10,778.64","224.00M","-0.10%"
"12/29/2022","10,951.05","10,797.65","10,980.82","10,776.64","229.51M","2.54%"
"12/28/2022","10,679.34","10,806.22","10,897.67","10,672.45","211.03M","-1.32%"
"12/27/2022","10,822.51","10,944.56","10,956.23","10,809.10","220.19M","-1.48%"
"12/23/2022","10,985.45","10,915.97","11,006.43","10,830.90","191.57M","0.27%"
"12/22/2022","10,956.14","11,098.46","11,114.23","10,784.30","305.00M","-2.49%"
"12/21/2022","11,235.88","11,112.54","11,285.72","11,086.30","237.54M","1.48%"
"12/20/2022","11,072.42","11,021.91","11,143.35","10,968.02","264.25M","-0.11%"
"12/19/2022","11,084.59","11,239.67","11,251.57","11,030.15","285.92M","-1.42%"
"12/16/2022","11,243.72","11,313.76","11,382.66","11,175.92","860.90M","-0.89%"
"12/15/2022","11,345.22","11,573.26","11,590.80","11,300.66","325.28M","-3.37%"
"12/14/2022","11,740.92","11,822.98","11,941.28","11,620.26","295.70M","-0.79%"
"12/13/2022","11,834.21","12,141.18","12,159.23","11,727.38","349.42M","1.09%"
"12/12/2022","11,706.44","11,573.15","11,706.44","11,529.75","245.45M","1.24%"
"12/09/2022","11,563.33","11,594.38","11,707.08","11,550.31","243.50M","-0.64%"
"12/08/2022","11,637.50","11,540.03","11,671.93","11,470.68","236.99M","1.22%"
"12/07/2022","11,497.39","11,491.20","11,576.07","11,432.38","228.03M","-0.45%"
"12/06/2022","11,549.68","11,775.21","11,790.93","11,488.82","233.60M","-2.01%"
"12/05/2022","11,786.80","11,900.74","11,957.30","11,732.20","228.80M","-1.73%"
"12/02/2022","11,994.26","11,845.31","12,025.36","11,827.84","234.75M","-0.40%"
"12/01/2022","12,041.89","12,030.97","12,113.81","11,928.85","256.77M","0.10%"
"11/30/2022","12,030.06","11,506.00","12,030.06","11,481.98","495.38M","4.58%"
"11/29/2022","11,503.45","11,589.86","11,613.24","11,450.55","195.88M","-0.73%"
"11/28/2022","11,587.75","11,684.07","11,763.64","11,555.41","238.64M","-1.46%"
"11/25/2022","11,759.62","11,777.86","11,803.73","11,749.50","70.46M","-0.67%"
"11/23/2022","11,838.71","11,726.14","11,866.41","11,722.01","180.48M","0.97%"
